sbn,size,category,symmetry,size_profile,sizes
881WATDhbs52aYWb4d3A008,8,plain,none,mixed,1 4 5 8 8 8 11 19
881W2XCM88B5nW842h2b4bY,8,plain,none,mixed,1 5 5 7 7 8 14 17
881W31GO5W5a20CA5BBagPS,8,plain,none,mixed,1 4 4 4 8 11 16 16
881W1YDMJ2B18WKAkL4ceL3,8,progressive,none,distinct,1 6 7 8 9 10 11 12
881W10YHSc853P0C65IGySE,8,progressive,none,distinct,1 3 4 8 9 11 13 15
881WD2XY6KE94GHB9fLB1m8,8,plain,none,mixed,1 4 4 5 6 11 16 17
881W18yICU52Ga8461U2A2G,8,plain,none,mixed,1 1 3 4 10 10 16 19
881W1A94rQvbI444gqIGAg1,8,progressive,none,distinct,1 2 5 7 9 11 13 16
881W0W94esRVmXGf94Jb444,8,progressive,none,distinct,1 3 4 7 8 9 15 17
881W0UcIQ9LAZA3KQh8aKW0,8,progressive,none,distinct,1 5 6 7 8 10 12 15
881W9AKOmMIO00ZMLEj3HeI,8,plain,none,mixed,5 5 5 6 6 8 10 19
881W5QcB54u4204i63D6XG4,8,plain,none,mixed,2 4 4 5 5 11 12 21
881W6LGfQ2XTWXJJ92ZD0G2,8,progressive,none,distinct,1 3 6 7 8 12 13 14
881W11211TCfrP0gKHnGeGG,8,plain,none,mixed,2 3 5 7 7 8 9 23
881W870K4520YG0WWuV-wrQ,8,plain,none,mixed,2 3 5 6 6 7 8 27
881W31WeI7t90e831ZKHWgP,8,plain,none,mixed,2 3 4 6 9 11 11 18
881W2B88JH4oX98as422EaE,8,plain,none,mixed,1 1 4 5 5 9 17 22
881W10HeA3aMGaaIGbRWmsK,8,progressive,none,distinct,1 3 4 6 11 12 13 14
881W0SsRMc98Z22M9ceqaY1,8,progressive,none,distinct,1 5 6 7 8 11 12 14
881W10HaMD_LeqcLH4B3GG2,8,progressive,none,distinct,2 3 6 7 9 10 13 14
881WD6muS699W0IhMbKK631,8,plain,none,mixed,2 5 5 8 8 9 9 18
881W4CMB9PD6ZIIHiMA2HG0,8,progressive,none,distinct,2 3 4 7 9 10 14 15
881W040M4BC60YOiKhNZHGO,8,plain,none,mixed,2 2 5 5 8 10 16 16
881W9arOe8f4A00W633YfL7,8,progressive,none,distinct,1 3 5 7 9 10 14 15
881W0KD74XH54H1xbIfTHn8,8,progressive,none,distinct,1 3 6 7 8 12 13 14
881W040LBLWy86YgIfLgqcG,8,progressive,none,distinct,2 3 4 5 8 10 15 17
881W1A54yLCQ94IAcL31X80,8,distinct,none,distinct,1 3 5 6 10 12 13 14
881W1pLd3pI8WA3KCI1sMGG,8,plain,none,mixed,1 4 4 6 8 12 13 16
881W1KfAG42ag64Y8YKxPaG,8,plain,none,mixed,2 2 4 4 5 7 17 23
881W8X54X2Wy8eZIqwT6Jc8,8,plain,none,mixed,4 4 5 5 6 7 12 21
881W0GHZ1HcY954wB9aK8Ka,8,plain,none,mixed,1 3 5 6 8 8 12 21
881W2AscLJLdi48tl8uF2K0,8,progressive,none,distinct,1 2 4 8 10 11 12 16
881W4JBb6XA2O12LpbYGeA6,8,progressive,none,distinct,1 2 5 8 10 11 12 15
881W4Z4rPTC50Gm8Gvw91v4,8,progressive,none,distinct,1 3 4 6 9 11 13 17
881W252T5H8KD28T8iKAagC,8,plain,none,mixed,2 5 5 5 7 8 13 19
881W18abJgeti8OL99Gmr6G,8,progressive,none,distinct,1 5 6 7 8 11 12 14
881W008SuQ6JnX8aOCbn656,8,progressive,none,distinct,1 2 4 7 8 11 15 16
881WC0X6K9a10o84wQX9X8u,8,plain,none,mixed,1 1 1 5 11 13 16 16
881W2WmuibE10W8C9P3YHGe,8,progressive,none,distinct,1 4 6 7 8 11 13 14
881W4yH4XXH8YW5f421AwqI,8,plain,none,mixed,1 3 6 7 7 9 15 16
881W2f9C254r9G42ObpMkA4,8,plain,none,mixed,2 5 5 5 6 8 9 24
881W9005YP4R94JQZIX8bAW,8,plain,none,mixed,1 3 5 5 6 9 10 25
881W252KOC951EW02iMp96Y,8,plain,none,mixed,1 2 2 7 8 10 13 21
881WA9732XJ9Id0LQ52XOY0,8,plain,none,mixed,1 6 6 7 8 10 13 13
881WDZmsSC6JAg00Gm1312K,8,distinct,none,distinct,1 3 4 5 7 8 16 20
881W0WUgE4wg018L9iaJgu4,8,plain,none,mixed,1 3 3 8 9 11 12 17
881W02H89ggYJ2J5B6ZaYRH,8,progressive,none,distinct,2 4 6 7 9 10 12 14
881W6ZmOSLIPKHWqS488aC4,8,progressive,none,distinct,2 4 6 7 8 10 13 14
881W4KWnK9IOfGfjMZBKW83,8,progressive,none,distinct,1 4 5 8 9 10 11 16
881W7CgKZP8b1WXG4n2nQGG,8,progressive,none,distinct,1 4 6 7 8 11 13 14
881WC10aqK4pf2aIZ3XP98X,8,plain,none,mixed,1 1 6 7 9 10 14 16
881W28fMxCbXOmG8OOXmdC3,8,progressive,none,distinct,1 4 6 8 9 10 11 15
881W1GODUNiX8maQD5eW4M4,8,progressive,none,distinct,2 4 5 7 8 9 13 16
